target_deg,actual_deg,error_deg,vq_V,elec_deg
0.0,334.95,-25.054,0.4618,164.1
1.0,1.05,0.055,0.0468,350.4
2.0,0.88,-1.121,0.1979,349.2
3.0,2.18,-0.817,0.1689,352.6
4.0,3.34,-0.66,0.2118,6.4
5.0,4.04,-0.957,0.2682,11.3
6.0,4.66,-1.342,0.3409,15.6
7.0,5.36,-1.639,0.416,20.5
8.0,6.35,-1.647,0.4254,36.9
9.0,13.5,4.5,-0.3511,77.0
10.0,12.92,2.92,-0.1991,73.4
11.0,13.1,2.096,-0.1722,74.7
12.0,13.36,1.359,-0.1344,76.5
13.0,13.71,0.711,-0.0889,79.0
14.0,13.38,-0.624,0.0668,74.6
15.0,14.94,-0.059,-0.0033,87.6
16.0,15.38,-0.619,0.0699,90.7
17.0,17.14,0.139,-0.0137,103.0
18.0,17.67,-0.334,0.0396,106.7
19.0,21.36,2.357,-0.3,132.5
20.0,21.53,1.533,-0.2577,133.7
21.0,21.88,0.885,-0.2163,136.2
22.0,22.32,0.324,-0.1636,139.3
23.0,23.2,0.203,-0.1543,145.4
24.0,23.64,-0.357,-0.0922,148.5
25.0,24.42,-0.575,0.0645,155.6
26.0,25.66,-0.336,-0.079,162.7
27.0,26.19,-0.809,-0.0091,166.3
28.0,26.72,-1.281,0.063,170.0
29.0,27.6,-1.402,0.1151,176.2
30.0,28.72,-1.278,0.1376,184.0
31.0,30.32,-0.678,0.0809,195.3
32.0,30.85,-1.15,0.1609,199.0
33.0,29.97,-3.029,0.4385,192.8
34.0,31.03,-2.975,0.5153,200.2
35.0,36.21,1.211,0.076,236.5
36.0,37.31,1.311,0.1104,245.6
37.0,38.32,1.32,-0.0196,251.2
38.0,38.67,0.672,0.0275,253.7
39.0,39.2,0.199,0.0724,257.4
40.0,39.93,-0.066,0.1212,255.5
41.0,39.9,-1.098,0.2448,262.3
42.0,43.24,1.242,-0.0057,285.7
43.0,44.25,1.254,-0.0209,291.1
44.0,46.58,2.582,-0.2419,309.1
45.0,46.85,1.846,-0.2168,310.9
46.0,47.2,1.197,-0.1833,313.4
47.0,47.64,0.637,-0.1444,316.5
48.0,48.25,0.252,-0.1093,320.8
49.0,48.31,-0.686,0.1497,330.0
50.0,49.83,-0.166,-0.0641,331.8
51.0,50.8,-0.199,-0.0603,338.6
52.0,51.5,-0.496,-0.0159,343.5
53.0,52.82,-0.178,-0.0402,352.8
54.0,53.26,-0.738,0.0363,355.8
55.0,54.11,-0.888,0.1071,1.6
56.0,56.07,0.074,-0.0247,15.5
57.0,56.45,-0.554,-0.0155,20.2
58.0,56.43,-1.574,0.2037,18.0
59.0,57.22,-1.783,0.2737,23.5
60.0,60.64,0.645,0.0045,47.5
61.0,61.0,-0.004,0.0708,50.0
62.0,61.7,-0.301,0.1046,54.9
63.0,64.6,1.6,-0.1332,75.2
64.0,63.46,-0.541,0.2311,66.7
65.0,65.15,0.151,-0.0842,81.0
66.0,65.83,-0.17,0.0418,83.8
67.0,65.21,-1.785,0.2541,79.5
68.0,66.01,-1.994,0.3306,85.0
69.0,68.44,-0.559,0.2924,100.1
70.0,69.96,-0.043,0.1595,112.7
71.0,73.75,2.752,-0.1891,139.2
72.0,73.92,1.916,-0.1627,140.4
73.0,74.18,1.18,-0.1202,142.3
74.0,75.47,1.469,-0.2468,152.1
75.0,75.75,0.751,-0.1673,153.3
76.0,76.9,0.904,-0.1339,161.3
77.0,77.26,0.256,-0.071,163.8
78.0,76.93,-1.072,0.1919,164.3
79.0,77.7,-1.305,0.131,166.9
80.0,78.57,-1.426,0.184,173.0
81.0,80.68,-0.316,0.0737,187.8
82.0,81.21,-0.789,0.1424,191.5
83.0,82.0,-0.998,0.19,197.0
84.0,82.79,-1.207,0.243,203.1
85.0,87.63,2.631,-0.1551,235.6
86.0,89.12,3.121,-0.3294,246.9
87.0,89.12,2.121,-0.2884,246.9
88.0,89.47,1.473,-0.2628,249.3
89.0,89.15,0.154,-0.03,247.1
90.0,90.62,0.615,-0.2155,257.3
91.0,90.97,-0.033,-0.1486,259.8
92.0,90.44,-1.561,0.0446,256.1
93.0,90.97,-2.033,0.1487,259.8
94.0,92.33,-1.671,0.13,269.0
95.0,93.76,-1.24,0.2494,277.3
96.0,94.75,-1.254,0.2094,286.2
97.0,95.98,-1.023,0.2193,294.8
98.0,98.79,0.789,0.0094,314.5
99.0,99.14,0.141,0.074,317.0
100.0,99.76,-0.244,0.1162,321.3
101.0,101.93,0.935,-0.0827,336.8
102.0,103.47,1.47,-0.1423,341.6
103.0,103.27,0.272,0.0351,345.9
104.0,103.71,-0.289,0.0959,349.0
105.0,104.68,-0.322,0.1049,355.8
106.0,105.91,-0.092,0.0821,4.4
107.0,106.61,-0.389,0.1179,9.3
108.0,107.49,-0.51,0.1425,15.4
109.0,108.02,-0.982,0.217,19.1
110.0,113.36,3.363,-0.3787,53.2
111.0,113.12,2.121,-0.1562,58.7
112.0,115.07,3.072,-0.4172,67.6
113.0,115.05,2.049,-0.3076,68.3
114.0,115.4,1.4,-0.2801,70.8
115.0,115.93,0.928,-0.2586,74.5
116.0,116.54,0.543,-0.2351,78.8
117.0,115.93,-1.072,-0.0387,74.5
118.0,116.81,-1.193,0.0063,80.7
119.0,117.69,-1.314,0.0538,86.8
120.0,120.46,0.457,-0.1896,98.5
121.0,120.15,-0.853,0.0374,104.0
122.0,120.76,-1.238,0.11,108.3
123.0,121.73,-1.271,0.1497,115.1
124.0,125.42,1.416,-0.256,143.2
125.0,125.41,0.405,-0.1054,145.0
126.0,125.95,-0.053,0.0151,144.6
127.0,126.3,-0.701,0.0998,147.1
128.0,126.22,-1.78,0.2901,151.7
129.0,128.73,-0.271,0.094,159.1
130.0,128.41,-1.592,0.2904,161.9
131.0,129.81,-1.185,0.2795,171.7
132.0,132.92,0.92,0.0512,194.8
133.0,133.42,0.418,0.099,196.9
134.0,134.05,0.048,0.0411,202.6
135.0,134.3,-0.703,0.2508,203.1
136.0,134.91,-1.088,0.3195,207.4
137.0,140.98,3.977,-0.3133,249.8
138.0,140.98,2.983,-0.2887,249.8
139.0,141.15,2.155,-0.2653,251.1
140.0,141.42,1.416,-0.236,252.9
141.0,141.77,0.768,-0.1914,255.4
142.0,143.01,1.012,-0.3522,263.8
143.0,142.21,-0.793,-0.0158,258.5
144.0,142.82,-1.178,0.0548,262.8
145.0,146.01,1.009,-0.2433,279.0
146.0,147.13,1.129,-0.2289,281.7
147.0,146.87,-0.135,-0.0542,291.1
148.0,147.48,-0.52,0.0002,295.4
149.0,150.36,1.359,-0.2596,319.4
150.0,151.11,1.106,-0.2122,309.9
151.0,150.91,-0.092,-0.0962,319.4
152.0,151.35,-0.652,-0.0209,322.4
153.0,151.53,-1.474,0.177,322.2
154.0,152.67,-1.334,0.1267,331.7
155.0,153.81,-1.191,0.1452,339.7
156.0,153.29,-2.711,0.4569,348.6
157.0,155.57,-1.434,0.2449,352.0
158.0,156.59,-1.409,0.2709,359.1
159.0,158.03,-0.973,0.2741,9.2
160.0,158.72,-1.284,0.3684,10.8
161.0,159.26,-1.742,0.4297,17.8
162.0,160.05,-1.951,0.5045,23.3
163.0,168.03,5.033,-0.4112,71.6
164.0,168.3,4.296,-0.4935,70.7
165.0,167.98,2.98,-0.4078,75.1
166.0,166.86,0.864,-0.013,71.1
167.0,167.78,0.783,-0.1226,77.5
168.0,168.13,0.135,-0.0578,80.0
169.0,168.66,-0.338,-0.0042,83.6
170.0,169.72,-0.283,0.0004,91.0
171.0,171.9,0.895,-0.2083,105.9
172.0,172.29,0.294,-0.0886,106.7
173.0,172.62,-0.383,0.0036,111.3
174.0,176.66,2.66,-0.3749,139.6
175.0,176.92,1.924,-0.3519,141.5
176.0,176.92,0.924,-0.2689,141.5
177.0,176.22,-0.781,-0.0321,148.6
178.0,178.07,0.066,-0.1861,149.5
179.0,178.51,-0.494,-0.1148,152.5
180.0,179.11,-0.889,-0.0514,157.9
181.0,179.37,-1.627,0.0609,158.7
182.0,180.44,-1.561,0.1048,166.1
183.0,182.34,-0.657,-0.0902,168.3
184.0,181.79,-2.214,0.3071,176.0
185.0,184.25,-0.75,0.1302,192.8
186.0,184.57,-1.43,0.2915,195.0
187.0,185.19,-1.814,0.3815,199.3
188.0,189.28,1.28,0.0889,226.9
189.0,193.01,4.008,-0.282,254.1
190.0,193.1,3.096,-0.2742,254.7
191.0,193.27,2.271,-0.2516,255.9
192.0,193.54,1.535,-0.2185,257.8
193.0,193.89,0.887,-0.1771,260.2
194.0,193.27,-0.729,0.0079,255.9
195.0,193.97,-1.025,0.067,260.8
196.0,194.85,-1.146,0.1117,267.0
197.0,196.9,-0.103,0.0427,284.0
198.0,197.84,-0.158,0.009,287.9
199.0,199.07,0.072,-0.0155,296.5
200.0,199.6,-0.4,0.0389,300.2
201.0,201.74,0.735,-0.012,316.4
202.0,203.2,1.203,-0.2023,325.4
203.0,203.47,0.467,-0.1332,327.3
204.0,204.35,0.345,-0.1132,326.7
205.0,205.01,0.006,-0.0938,345.8
206.0,205.58,-0.424,-0.0408,342.0
207.0,206.1,-0.896,0.0311,345.7
208.0,207.6,-0.402,-0.0065,356.2
209.0,208.23,-0.768,0.1034,1.2
210.0,209.09,-0.908,0.094,6.7
211.0,209.85,-1.149,0.1446,12.2
212.0,210.59,-1.414,0.2158,17.1
213.0,210.18,-2.818,0.455,12.8
214.0,211.82,-2.184,0.4112,25.7
215.0,215.42,0.42,0.1372,50.9
216.0,217.35,1.352,0.0364,63.7
217.0,218.23,1.232,-0.0216,70.6
218.0,218.5,0.496,0.0474,72.5
219.0,219.2,0.199,0.0744,77.4
220.0,218.98,-1.024,0.2974,76.5
221.0,220.25,-0.746,0.2002,84.8
222.0,222.8,0.803,0.0413,103.1
223.0,223.42,0.418,0.0683,106.9
224.0,227.02,3.021,-0.2758,132.2
225.0,227.29,2.285,-0.2627,134.0
226.0,227.55,1.549,-0.2306,135.8
227.0,227.99,0.988,-0.2006,138.9
228.0,228.43,0.428,-0.1491,142.0
229.0,229.04,0.043,-0.1109,146.3
230.0,229.66,-0.342,-0.0644,150.6
231.0,230.27,-0.727,-0.006,154.9
232.0,232.35,0.348,-0.1108,161.5
233.0,232.82,-0.178,-0.0474,172.8
234.0,233.26,-0.738,0.0292,175.8
235.0,234.11,-0.891,0.0947,189.2
236.0,235.2,-0.805,0.074,189.4
237.0,235.72,-1.277,0.1565,193.1
238.0,236.69,-1.311,0.1969,199.8
239.0,237.57,-1.432,0.2477,206.0
240.0,241.7,1.699,-0.1043,234.9
241.0,241.44,0.436,0.0169,233.1
242.0,241.79,-0.213,0.0858,235.5
243.0,242.8,-0.199,0.155,245.1
244.0,244.24,0.24,-0.02,257.2
245.0,244.86,-0.137,0.0165,257.1
246.0,245.39,-0.609,0.0816,260.7
247.0,246.01,-0.994,0.1471,265.0
248.0,246.38,-1.619,0.3055,262.2
249.0,246.71,-2.291,0.3889,270.0
250.0,249.52,-0.479,0.2151,289.7
251.0,253.56,2.564,-0.1645,318.0
252.0,253.83,1.828,-0.1391,319.8
253.0,254.18,1.18,-0.1051,322.3
254.0,254.53,0.531,-0.0543,324.7
255.0,255.15,0.146,-0.0176,329.0
256.0,255.94,-0.062,-0.0021,334.6
257.0,256.64,-0.359,0.035,339.5
258.0,257.52,-0.48,0.06,345.6
259.0,258.4,-0.602,0.089,351.8
260.0,261.17,1.168,-0.21,12.6
261.0,260.95,-0.053,0.042,9.6
262.0,261.39,-0.613,0.1154,12.7
263.0,262.18,-0.822,0.1578,18.3
264.0,262.96,-1.044,0.1668,18.0
265.0,267.26,2.264,-0.1141,61.3
266.0,269.18,3.176,-0.3044,61.8
267.0,268.86,1.857,-0.2341,65.0
268.0,269.3,1.297,-0.2136,68.1
269.0,269.74,0.736,-0.1768,71.2
270.0,270.26,0.264,-0.1322,74.9
271.0,270.97,-0.033,-0.102,79.8
272.0,270.79,-1.209,0.0504,78.5
273.0,271.83,-1.174,0.0858,78.5
274.0,271.85,-2.154,0.2419,85.9
275.0,275.05,0.048,-0.0134,105.6
276.0,274.75,-1.254,0.2354,106.2
277.0,275.71,-1.287,0.2739,113.0
278.0,279.4,1.404,-0.0378,138.8
279.0,279.58,0.58,0.0299,140.1
