esp_ms,pos_deg,vel_deg_s,target_deg,vq,os_time
834352,359.16,0.15,359.87,0.175,1774656219.055595
834363,359.6,0.16,359.88,-0.017,1774656219.056597
834374,0.59,0.18,359.89,-0.171,1774656219.056597
834385,359.48,0.16,359.9,0.146,1774656219.056597
834396,359.16,0.15,359.91,0.105,1774656219.057597
834407,0.63,0.18,359.92,-0.218,1774656219.057597
834418,359.61,0.16,359.93,0.113,1774656219.0585968
834429,359.32,0.15,359.94,0.088,1774656219.0585968
834440,0.56,0.18,359.96,-0.185,1774656219.059599
834451,359.43,0.16,359.97,0.145,1774656219.059599
834462,359.07,0.15,359.98,0.126,1774656219.0605972
834473,0.7,0.19,359.99,-0.205,1774656219.069597
834484,359.37,0.16,360.0,0.126,1774656219.0805964
834495,359.42,0.16,0.01,0.054,1774656219.0915954
834506,1.1,0.2,0.02,-0.277,1774656219.10271
834517,359.21,0.14,0.03,0.054,1774656219.1137102
834528,359.14,0.13,0.04,0.097,1774656219.12471
834539,359.85,0.15,0.05,-0.049,1774656219.1357086
834550,0.72,0.17,0.07,-0.156,1774656219.1462784
834561,359.38,0.14,0.08,0.175,1774656219.1572785
834572,359.57,0.14,0.09,0.033,1774656219.1682785
834583,0.57,0.17,0.1,-0.148,1774656219.179278
834594,359.58,0.14,0.11,0.146,1774656219.1902783
834605,359.37,0.14,0.12,0.094,1774656219.2022536
834616,0.58,0.17,0.13,-0.165,1774656219.21225
834627,359.35,0.14,0.14,0.166,1774656219.2232535
834638,359.2,0.14,0.15,0.111,1774656219.2352543
834649,0.88,0.18,0.16,-0.22,1774656219.2462528
834660,359.64,0.15,0.18,0.11,1774656219.2572532
834671,359.24,0.14,0.19,0.134,1774656219.2682543
834682,0.39,0.16,0.2,-0.134,1774656219.2792528
834693,0.26,0.16,0.21,0.004,1774656219.2902534
834704,359.59,0.14,0.22,0.126,1774656219.3012528
834715,0.74,0.17,0.23,-0.166,1774656219.3122518
834726,359.87,0.15,0.24,0.119,1774656219.323254
834737,359.28,0.14,0.25,0.154,1774656219.3342535
834748,0.78,0.17,0.26,-0.176,1774656219.3452532
834759,359.86,0.15,0.27,0.129,1774656219.3562524
834770,359.31,0.14,0.29,0.152,1774656219.367253
834781,0.84,0.17,0.3,-0.179,1774656219.378253
834792,359.88,0.15,0.31,0.133,1774656219.3892534
834804,359.31,0.14,0.32,0.158,1774656219.4001317
834815,0.92,0.17,0.33,-0.173,1774656219.4111326
834826,359.99,0.15,0.34,0.123,1774656219.4221313
834837,359.32,0.14,0.35,0.17,1774656219.433131
