esp_ms,pos_deg,vel_deg_s,target_deg,vq,os_time
34703,1.05,-0.57,1.54,0.059,1774656487.0524776
34714,1.05,-0.57,1.55,0.061,1774656487.0534797
34725,1.05,-0.57,1.56,0.062,1774656487.0534797
34736,1.05,-0.57,1.58,0.063,1774656487.0544796
34747,1.05,-0.57,1.59,0.065,1774656487.0544796
34758,1.05,-0.57,1.6,0.066,1774656487.055478
34770,1.05,-0.57,1.61,0.068,1774656487.055478
34781,1.05,-0.57,1.62,0.069,1774656487.0564778
34792,1.05,-0.57,1.63,0.07,1774656487.0564778
34803,1.09,-0.57,1.64,0.065,1774656487.0574772
34814,1.14,-0.57,1.65,0.059,1774656487.061477
34825,1.14,-0.57,1.66,0.065,1774656487.0714781
34836,1.14,-0.57,1.68,0.066,1774656487.0824764
34847,1.14,-0.57,1.69,0.068,1774656487.0944788
34858,1.14,-0.57,1.7,0.069,1774656487.1054797
34869,1.14,-0.57,1.71,0.071,1774656487.1164792
34880,1.14,-0.57,1.72,0.072,1774656487.1274781
34891,1.14,-0.57,1.73,0.073,1774656487.1384785
34902,1.14,-0.57,1.74,0.075,1774656487.149478
34913,1.14,-0.57,1.75,0.076,1774656487.160479
34924,1.14,-0.57,1.76,0.077,1774656487.1714792
34935,1.14,-0.57,1.77,0.079,1774656487.1824796
34946,1.14,-0.57,1.79,0.08,1774656487.1934788
34957,1.14,-0.57,1.8,0.082,1774656487.2044783
34968,1.14,-0.57,1.81,0.083,1774656487.215479
34979,1.14,-0.57,1.82,0.084,1774656487.2264788
34990,1.2,-0.57,1.83,0.075,1774656487.237479
35001,1.23,-0.57,1.84,0.075,1774656487.2484784
35012,1.23,-0.57,1.85,0.079,1774656487.2594783
35023,1.23,-0.57,1.86,0.081,1774656487.27048
35034,1.23,-0.57,1.87,0.082,1774656487.2814772
35045,1.23,-0.57,1.88,0.084,1774656487.2924776
35056,1.23,-0.57,1.9,0.085,1774656487.303479
35067,1.23,-0.56,1.91,0.086,1774656487.3144796
35078,1.23,-0.56,1.92,0.088,1774656487.3254786
35089,1.23,-0.56,1.93,0.089,1774656487.3364794
35100,1.23,-0.56,1.94,0.091,1774656487.3474784
35111,1.23,-0.56,1.95,0.092,1774656487.3584778
35122,1.23,-0.56,1.96,0.093,1774656487.3694794
35133,1.23,-0.56,1.97,0.095,1774656487.3804781
35144,1.23,-0.56,1.98,0.096,1774656487.3914783
35155,1.31,-0.56,1.99,0.081,1774656487.4024777
35166,1.32,-0.56,2.01,0.09,1774656487.4134786
35177,1.32,-0.56,2.02,0.091,1774656487.425478
35188,1.32,-0.56,2.03,0.093,1774656487.4360037
35199,1.32,-0.56,2.04,0.094,1774656487.4470031
35210,1.32,-0.56,2.05,0.096,1774656487.458005
35221,1.32,-0.56,2.06,0.097,1774656487.4690046
35232,1.32,-0.56,2.07,0.098,1774656487.4800034
35243,1.32,-0.56,2.08,0.1,1774656487.4910045
35254,1.32,-0.56,2.09,0.101,1774656487.5020044
35265,1.32,-0.56,2.1,0.103,1774656487.5130043
35276,1.32,-0.56,2.12,0.104,1774656487.524003
35287,1.32,-0.56,2.13,0.106,1774656487.5350044
35298,1.32,-0.56,2.14,0.107,1774656487.5460038
35309,0.02,-0.59,2.15,0.368,1774656487.5570023
35320,0.93,-0.57,2.16,0.065,1774656487.5680046
35331,0.8,-0.57,2.17,0.179,1774656487.5790045
35342,0.79,-0.57,2.18,0.17,1774656487.5900042
35354,0.57,-0.58,2.19,0.215,1774656487.6010044
35365,0.62,-0.58,2.2,0.187,1774656487.612004
35376,0.62,-0.58,2.21,0.193,1774656487.623004
35387,0.62,-0.58,2.23,0.195,1774656487.6340039
35398,0.62,-0.58,2.24,0.197,1774656487.645003
35409,0.62,-0.57,2.25,0.199,1774656487.656005
35420,0.62,-0.57,2.26,0.2,1774656487.6670032
35431,0.62,-0.57,2.27,0.202,1774656487.6780038
35442,0.62,-0.57,2.28,0.204,1774656487.6890025
35453,0.62,-0.57,2.29,0.206,1774656487.7000017
35464,0.62,-0.57,2.3,0.207,1774656487.711002
35475,0.62,-0.57,2.31,0.209,1774656487.722004
35486,0.62,-0.57,2.33,0.211,1774656487.7340033
35497,0.62,-0.57,2.34,0.213,1774656487.7440028
35508,0.62,-0.57,2.35,0.215,1774656487.7550044
35519,0.62,-0.57,2.36,0.217,1774656487.7660046
35530,0.62,-0.57,2.37,0.218,1774656487.7770038
35541,0.62,-0.57,2.38,0.22,1774656487.788005
35552,0.62,-0.57,2.39,0.222,1774656487.7990022
35563,0.62,-0.57,2.4,0.224,1774656487.810005
35574,0.62,-0.57,2.41,0.226,1774656487.821003
35585,0.62,-0.57,2.42,0.228,1774656487.8320045
35596,0.62,-0.57,2.44,0.229,1774656487.8430045
35607,0.62,-0.57,2.45,0.231,1774656487.8540027
35618,0.7,-0.57,2.46,0.216,1774656487.865004
35629,0.7,-0.57,2.47,0.225,1774656487.8760023
